state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,consolidated_city-county,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,consumption (MWh),expenditures in Millions,consumption (MWh/capita),expenditures in Millions,utility customers,GHG emissions mtons CO2e,consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,utility customers,occuped housing units,consumption (MWh),expenditures in Millions,consumption (MWh/capita),expenditures in Millions,consumption (MWh),expenditures in Millions,utility customers,consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,consumption (TcF),expenditures in Millions,utility customers,buildings,area (sq. ft.),consumption (gallons),consumption (gallons/capita),consumption (gallons),consumption (gallons/capita),vehicle miles traveled (miles),vehicle miles traveled (miles/capita),consumption (MWh),expenditures in Millions,consumption (MWh/capita),consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,establishments,consumption (MWh),expenditures in Millions
1,AL,"Autauga County, AL",1001,Autauga County,32.532237,-86.64644,,55049,7,21580,5,3,30705,315398,39864,6,1,22120,156670,316920,4185,6,0,9750,20800,128186,14821,2,0,130821,14633,2415,170669,1703,3,0,152812,1627,468,,,25332114,460,11506887,209,740266187,13447,33506,2025,1,3263590,12369,59,0,,2511,152
1,AL,"Baldwin County, AL",1003,Baldwin County,30.659218,-87.746067,,199510,11,122682,9,2,21109,1064843,126826,5,1,127891,528947,273012,5989,1,0,21862,75149,1122222,117677,6,1,978878,109489,19816,407181,6532,2,0,1843506,19633,2375,,,116066055,582,42975312,215,3239817322,16239,389609,23543,2,1663962,6306,8,0,,15731,951
1,AL,"Barbour County, AL",1005,Barbour County,31.870253,-85.405104,,26614,6,13613,4,3,30604,136098,17085,5,1,11494,67605,40062,668,2,0,724,9122,87199,10128,3,0,92666,10365,1920,85081,1092,3,0,123970,1320,369,,,14909195,560,4016334,151,391131704,14696,334420,20208,13,1526156,5784,57,0,,4625,279
1,AL,"Bibb County, AL",1007,Bibb County,33.015893,-87.127148,,22572,5,6699,2,3,30502,117401,14858,5,1,8738,58318,99056,1306,4,0,1441,7048,44056,5106,2,0,44744,5005,1121,53863,533,2,0,47445,505,217,,,11806243,523,3776567,167,320513006,14200,11471,693,1,3742,14,0,0,,1572,95
1,AL,"Blount County, AL",1009,Blount County,33.977358,-86.56644,,57704,8,12557,4,3,30804,328466,41577,6,1,23227,177690,193482,2576,3,0,4634,20619,123154,14273,2,0,125064,13989,2909,6049,60,0,0,5287,56,336,,,23520539,408,9996834,173,673272458,11668,129611,7832,2,136813,519,2,0,,6148,371
1,AL,"Bullock County, AL",1011,Bullock County,32.101759,-85.717261,,10552,3,3422,1,3,30301,53059,6709,5,1,4345,26357,31638,419,3,0,627,3556,18976,2199,2,0,19444,2175,504,8,0,0,0,7,0,106,,,6186642,586,1975072,187,167836840,15906,56343,3405,5,201530,764,19,0,,2055,124
1,AL,"Butler County, AL",1013,Butler County,31.751667,-86.681969,,20280,5,12211,4,3,30504,117812,14944,6,1,9655,58522,32256,570,2,0,1607,7675,75713,8777,4,0,76907,8602,1459,62576,841,3,0,99134,1056,281,,,22568262,1113,13011949,642,689255139,33987,65106,3934,3,40235,152,2,0,,2690,163
1,AL,"Calhoun County, AL",1015,Calhoun County,33.771706,-85.822513,,115883,9,71664,8,3,30908,648757,82123,6,1,51932,350959,788725,10399,7,0,19397,45071,539145,62504,5,1,519946,58157,9789,585983,5804,5,0,515685,5492,1768,,,53512407,462,16543137,143,1453111884,12539,610312,36879,5,1920892,7280,17,0,,4792,290
1,AL,"Chambers County, AL",1017,Chambers County,32.915504,-85.394032,,34018,6,12279,4,3,30604,207888,26283,6,1,16463,103266,153560,2025,5,0,3334,13851,125283,14515,4,0,127190,14226,2258,115461,1144,3,0,101760,1084,412,,,20775028,611,7101580,209,566425834,16651,172442,10420,5,1312672,4975,39,0,,1258,76
1,AL,"Cherokee County, AL",1019,Cherokee County,34.069515,-85.654242,,25897,6,7709,3,3,30603,162897,20819,6,1,15835,88122,86644,1274,3,0,2080,10999,75847,9914,3,0,68694,7684,2993,133379,1378,5,0,79196,843,421,,,13580194,524,4218086,163,362839833,14011,307649,18590,12,486007,1842,19,0,,7183,434
